metric	value
replicons_total	1
chromosome_or_other_replicons	1
plasmids_total	0
length_bp_total	4536413
gc_percent_weighted	55.3
genes_total	3709
cds_total	3618
cds_with_translation_total	3618
pseudogenes_total	39
trna_total	42
rrna_total	6
rrna_5s_total	2
rrna_16s_total	2
rrna_23s_total	2
rrna_other_total	0
rrna_complete_total	6
rrna_partial_total	0
ncrna_total	3
tmrna_total	1
other_rna_total	0
annotated_bases_bp_total	3673175
coding_bases_bp_total	3638987
intergenic_spacers_n_total	3429
intergenic_spacers_bp_total	862451
annotated_overlaps_n_total	3938
annotated_overlaps_bp_total	3658991
cds_frame_total	3618
cds_frame_intact_total	2994
cds_frame_partial_total	0
cds_frame_pseudogene_total	0
cds_frame_problematic_total	624
cds_frame_error_total	0
cds_frame_internal_stop_total	0
cds_frame_length_error_total	0
cds_frame_missing_start_total	0
cds_frame_missing_stop_total	0
cds_frame_ambiguous_codon_total	0
cds_frame_translation_mismatch_total	624
coding_density_percent	80.2
avg_gene_length_bp_weighted	991.3
avg_cds_length_bp_weighted	1006.7
intergenic_spacers_mean_bp	251.5
annotated_overlaps_mean_bp	929.1
genes_per_mbp	817.6
cds_per_mbp	797.5
trna_per_mbp	9.3
rrna_operon_proxy_min	2
cds_frame_non_partial_non_pseudogene_intact_percent	82.8
