metric	value
replicons_total	1
chromosome_or_other_replicons	0
plasmids_total	1
length_bp_total	4038
gc_percent_weighted	49.3
genes_total	6
cds_total	6
cds_with_translation_total	6
pseudogenes_total	0
trna_total	0
rrna_total	0
rrna_5s_total	0
rrna_16s_total	0
rrna_23s_total	0
rrna_other_total	0
rrna_complete_total	0
rrna_partial_total	0
ncrna_total	0
tmrna_total	0
other_rna_total	0
annotated_bases_bp_total	3231
coding_bases_bp_total	3231
intergenic_spacers_n_total	5
intergenic_spacers_bp_total	473
annotated_overlaps_n_total	6
annotated_overlaps_bp_total	3231
cds_frame_total	6
cds_frame_intact_total	6
cds_frame_partial_total	0
cds_frame_pseudogene_total	0
cds_frame_problematic_total	0
cds_frame_error_total	0
cds_frame_internal_stop_total	0
cds_frame_length_error_total	0
cds_frame_missing_start_total	0
cds_frame_missing_stop_total	0
cds_frame_ambiguous_codon_total	0
cds_frame_translation_mismatch_total	0
coding_density_percent	80.0
avg_gene_length_bp_weighted	538.5
avg_cds_length_bp_weighted	538.5
intergenic_spacers_mean_bp	94.6
annotated_overlaps_mean_bp	538.5
genes_per_mbp	1485.9
cds_per_mbp	1485.9
trna_per_mbp	0.0
rrna_operon_proxy_min	0
cds_frame_non_partial_non_pseudogene_intact_percent	100.0
