metric	value
replicons_total	1
chromosome_or_other_replicons	1
plasmids_total	0
length_bp_total	4536398
gc_percent_weighted	55.2
genes_total	2662
cds_total	3759
cds_with_translation_total	0
pseudogenes_total	0
trna_total	45
rrna_total	6
rrna_5s_total	2
rrna_16s_total	2
rrna_23s_total	2
rrna_other_total	0
rrna_complete_total	6
rrna_partial_total	0
ncrna_total	0
tmrna_total	0
other_rna_total	0
annotated_bases_bp_total	2768995
coding_bases_bp_total	2756921
intergenic_spacers_n_total	2987
intergenic_spacers_bp_total	1764010
annotated_overlaps_n_total	3475
annotated_overlaps_bp_total	2772862
cds_frame_total	3759
cds_frame_intact_total	3690
cds_frame_partial_total	12
cds_frame_pseudogene_total	0
cds_frame_problematic_total	57
cds_frame_error_total	0
cds_frame_internal_stop_total	2
cds_frame_length_error_total	58
cds_frame_missing_start_total	0
cds_frame_missing_stop_total	57
cds_frame_ambiguous_codon_total	0
cds_frame_translation_mismatch_total	0
coding_density_percent	60.8
avg_gene_length_bp_weighted	882.1
avg_cds_length_bp_weighted	846.1
intergenic_spacers_mean_bp	590.6
annotated_overlaps_mean_bp	797.9
genes_per_mbp	586.8
cds_per_mbp	828.6
trna_per_mbp	9.9
rrna_operon_proxy_min	2
cds_frame_non_partial_non_pseudogene_intact_percent	98.5
