record_id,identifier,identifier_type,start,end,strand,warning
Limnothrix,AC2IAX_000011,locus_tag,12339,12597,-1,"No identical matching CDS, tRNA, or rRNA annotation found"
Limnothrix,AC2IAX_000189,locus_tag,232198,232696,1,"No identical matching CDS, tRNA, or rRNA annotation found"
Limnothrix,AC2IAX_000237,locus_tag,275042,275120,1,"No identical matching CDS, tRNA, or rRNA annotation found"
Limnothrix,AC2IAX_000397,locus_tag,465544,465757,1,"No identical matching CDS, tRNA, or rRNA annotation found"
Limnothrix,AC2IAX_000398,locus_tag,465781,466392,-1,"No identical matching CDS, tRNA, or rRNA annotation found"
Limnothrix,AC2IAX_000426,locus_tag,502946,503609,-1,"No identical matching CDS, tRNA, or rRNA annotation found"
Limnothrix,AC2IAX_000441,locus_tag,523996,524734,1,"No identical matching CDS, tRNA, or rRNA annotation found"
Limnothrix,AC2IAX_000457,locus_tag,543127,543385,1,"No identical matching CDS, tRNA, or rRNA annotation found"
Limnothrix,AC2IAX_000588,locus_tag,693834,694413,-1,"No identical matching CDS, tRNA, or rRNA annotation found"
Limnothrix,AC2IAX_000594,locus_tag,698383,698990,-1,"No identical matching CDS, tRNA, or rRNA annotation found"
Limnothrix,AC2IAX_000681,locus_tag,814345,814551,1,"No identical matching CDS, tRNA, or rRNA annotation found"
Limnothrix,AC2IAX_000683,locus_tag,815212,815503,-1,"No identical matching CDS, tRNA, or rRNA annotation found"
Limnothrix,AC2IAX_000685,locus_tag,816475,816972,-1,"No identical matching CDS, tRNA, or rRNA annotation found"
Limnothrix,AC2IAX_000716,locus_tag,848040,848865,-1,"No identical matching CDS, tRNA, or rRNA annotation found"
Limnothrix,AC2IAX_000717,locus_tag,849115,849638,1,"No identical matching CDS, tRNA, or rRNA annotation found"
Limnothrix,AC2IAX_000833,locus_tag,1006015,1006330,-1,"No identical matching CDS, tRNA, or rRNA annotation found"
Limnothrix,AC2IAX_000951,locus_tag,1173925,1174180,1,"No identical matching CDS, tRNA, or rRNA annotation found"
Limnothrix,AC2IAX_000954,locus_tag,1179088,1179253,1,"No identical matching CDS, tRNA, or rRNA annotation found"
Limnothrix,AC2IAX_001021,locus_tag,1271887,1271984,1,"No identical matching CDS, tRNA, or rRNA annotation found"
Limnothrix,AC2IAX_001096,locus_tag,1347605,1347746,-1,"No identical matching CDS, tRNA, or rRNA annotation found"
Limnothrix,AC2IAX_001313,locus_tag,1625336,1625702,-1,"No identical matching CDS, tRNA, or rRNA annotation found"
Limnothrix,AC2IAX_001350,locus_tag,1671115,1671544,-1,"No identical matching CDS, tRNA, or rRNA annotation found"
Limnothrix,AC2IAX_001424,locus_tag,1758970,1759369,1,"No identical matching CDS, tRNA, or rRNA annotation found"
Limnothrix,AC2IAX_001506,locus_tag,1864442,1865330,-1,"No identical matching CDS, tRNA, or rRNA annotation found"
Limnothrix,AC2IAX_001676,locus_tag,2108761,2109133,1,"No identical matching CDS, tRNA, or rRNA annotation found"
Limnothrix,AC2IAX_001793,locus_tag,2230624,2231353,-1,"No identical matching CDS, tRNA, or rRNA annotation found"
Limnothrix,AC2IAX_001794,locus_tag,2231806,2232700,-1,"No identical matching CDS, tRNA, or rRNA annotation found"
Limnothrix,AC2IAX_001861,locus_tag,2332628,2333125,1,"No identical matching CDS, tRNA, or rRNA annotation found"
Limnothrix,AC2IAX_001863,locus_tag,2334097,2334388,1,"No identical matching CDS, tRNA, or rRNA annotation found"
Limnothrix,AC2IAX_001876,locus_tag,2351566,2352214,-1,"No identical matching CDS, tRNA, or rRNA annotation found"
Limnothrix,AC2IAX_002103,locus_tag,2614400,2618738,-1,"No identical matching CDS, tRNA, or rRNA annotation found"
Limnothrix,AC2IAX_002212,locus_tag,2749464,2749701,1,"No identical matching CDS, tRNA, or rRNA annotation found"
Limnothrix,AC2IAX_002219,locus_tag,2755403,2755718,-1,"No identical matching CDS, tRNA, or rRNA annotation found"
Limnothrix,AC2IAX_002220,locus_tag,2755687,2755882,-1,"No identical matching CDS, tRNA, or rRNA annotation found"
Limnothrix,AC2IAX_002259,locus_tag,2807995,2808076,1,"No identical matching CDS, tRNA, or rRNA annotation found"
Limnothrix,AC2IAX_002308,locus_tag,2858797,2859127,-1,"No identical matching CDS, tRNA, or rRNA annotation found"
Limnothrix,AC2IAX_002318,locus_tag,2872653,2872761,-1,"No identical matching CDS, tRNA, or rRNA annotation found"
Limnothrix,AC2IAX_002405,locus_tag,2955555,2955930,-1,"No identical matching CDS, tRNA, or rRNA annotation found"
Limnothrix,AC2IAX_003236,locus_tag,3938769,3938952,-1,"No identical matching CDS, tRNA, or rRNA annotation found"
Limnothrix,AC2IAX_003386,locus_tag,4106765,4107656,-1,"No identical matching CDS, tRNA, or rRNA annotation found"
Limnothrix,AC2IAX_003442,locus_tag,4176601,4176829,1,"No identical matching CDS, tRNA, or rRNA annotation found"
Limnothrix,AC2IAX_003474,locus_tag,4210047,4211334,-1,"No identical matching CDS, tRNA, or rRNA annotation found"
Limnothrix,AC2IAX_003668,locus_tag,4463030,4463420,-1,"No identical matching CDS, tRNA, or rRNA annotation found"
