identifier,identifier_type_genome1,identifier_type_genome2,record_id_genome1,record_id_genome2,supporting_types_genome1,supporting_types_genome2,start_genome1,start_genome2,end_genome1,end_genome2,strand_genome1,strand_genome2,start_difference_bp,position_match_within_threshold,status
AC2IAX_000001,locus_tag,,Limnothrix,,CDS,,635,,2054,,1,,,False,unique_to_genome1_or_no_match_within_500bp
AC2IAX_000002,locus_tag,,Limnothrix,,CDS,,2387,,2981,,1,,,False,unique_to_genome1_or_no_match_within_500bp
AC2IAX_000003,locus_tag,,Limnothrix,,CDS,,3241,,5464,,-1,,,False,unique_to_genome1_or_no_match_within_500bp
AC2IAX_000004,locus_tag,,Limnothrix,,CDS,,5711,,7199,,1,,,False,unique_to_genome1_or_no_match_within_500bp
AC2IAX_000005,locus_tag,,Limnothrix,,CDS,,7233,,8223,,1,,,False,unique_to_genome1_or_no_match_within_500bp
AC2IAX_000006,locus_tag,,Limnothrix,,CDS,,8354,,8804,,1,,,False,unique_to_genome1_or_no_match_within_500bp
AC2IAX_000007,locus_tag,,Limnothrix,,CDS,,8844,,9675,,-1,,,False,unique_to_genome1_or_no_match_within_500bp
AC2IAX_000008,locus_tag,,Limnothrix,,CDS,,9799,,10438,,1,,,False,unique_to_genome1_or_no_match_within_500bp
AC2IAX_000009,locus_tag,,Limnothrix,,CDS,,10434,,10878,,-1,,,False,unique_to_genome1_or_no_match_within_500bp
AC2IAX_000010,locus_tag,,Limnothrix,,CDS,,11402,,12152,,-1,,,False,unique_to_genome1_or_no_match_within_500bp
AC2IAX_000012,locus_tag,,Limnothrix,,CDS,,12859,,13669,,-1,,,False,unique_to_genome1_or_no_match_within_500bp
AC2IAX_000013,locus_tag,,Limnothrix,,CDS,,13817,,15395,,-1,,,False,unique_to_genome1_or_no_match_within_500bp
AC2IAX_000014,locus_tag,,Limnothrix,,CDS,,15502,,16834,,1,,,False,unique_to_genome1_or_no_match_within_500bp
AC2IAX_000015,locus_tag,,Limnothrix,,CDS,,17255,,18869,,1,,,False,unique_to_genome1_or_no_match_within_500bp
AC2IAX_000016,locus_tag,,Limnothrix,,CDS,,18957,,20043,,1,,,False,unique_to_genome1_or_no_match_within_500bp
AC2IAX_000017,locus_tag,,Limnothrix,,CDS,,20123,,20873,,1,,,False,unique_to_genome1_or_no_match_within_500bp
AC2IAX_000018,locus_tag,,Limnothrix,,CDS,,21230,,23279,,1,,,False,unique_to_genome1_or_no_match_within_500bp
AC2IAX_000019,locus_tag,,Limnothrix,,CDS,,23469,,24150,,1,,,False,unique_to_genome1_or_no_match_within_500bp
AC2IAX_000020,locus_tag,,Limnothrix,,CDS,,24174,,24450,,-1,,,False,unique_to_genome1_or_no_match_within_500bp
AC2IAX_000021,locus_tag,,Limnothrix,,CDS,,24777,,25398,,1,,,False,unique_to_genome1_or_no_match_within_500bp
AC2IAX_000022,locus_tag,,Limnothrix,,CDS,,25435,,26509,,-1,,,False,unique_to_genome1_or_no_match_within_500bp
AC2IAX_000023,locus_tag,,Limnothrix,,CDS,,26686,,27859,,-1,,,False,unique_to_genome1_or_no_match_within_500bp
AC2IAX_000024,locus_tag,,Limnothrix,,CDS,,27951,,28152,,-1,,,False,unique_to_genome1_or_no_match_within_500bp
AC2IAX_000025,locus_tag,,Limnothrix,,CDS,,28638,,29571,,1,,,False,unique_to_genome1_or_no_match_within_500bp
AC2IAX_000026,locus_tag,,Limnothrix,,CDS,,29567,,30797,,-1,,,False,unique_to_genome1_or_no_match_within_500bp
AC2IAX_000027,locus_tag,,Limnothrix,,CDS,,30952,,31366,,1,,,False,unique_to_genome1_or_no_match_within_500bp
AC2IAX_000028,locus_tag,,Limnothrix,,CDS,,31386,,32124,,-1,,,False,unique_to_genome1_or_no_match_within_500bp
AC2IAX_000029,locus_tag,,Limnothrix,,CDS,,32188,,32929,,-1,,,False,unique_to_genome1_or_no_match_within_500bp
AC2IAX_000030,locus_tag,,Limnothrix,,CDS,,33288,,35169,,-1,,,False,unique_to_genome1_or_no_match_within_500bp
